"Region_crops","Country","Element","Y2009","Y2010","Y2011"
"Africa","Austria","Food supply (kcal/capita/day)",102,100,104
"Africa","Austria","Food supply quantity (g/capita/day)",38,35,41
"Africa","Austria","Protein supply quantity (g/capita/day)",2.1,2.1,2.4
"Africa","Azerbaijan","Fat supply quantity (g/capita/day)",0.7,0.3,0.3
"Africa","Azerbaijan","Food supply (kcal/capita/day)",32,23,24
"Africa","Azerbaijan","Food supply quantity (g/capita/day)",9,7,7
"Africa","Azerbaijan","Protein supply quantity (g/capita/day)",0.5,0.4,0.4
"Africa","Bahamas","Fat supply quantity (g/capita/day)",1.7,1.7,1.6
"Africa","Bahamas","Food supply (kcal/capita/day)",239,232,229
"Africa","Bahamas","Food supply quantity (g/capita/day)",81,65,64
"Africa","Bahamas","Protein supply quantity (g/capita/day)",5.1,4.8,4.7
"Africa","Bangladesh","Fat supply quantity (g/capita/day)",12.7,12.5,12.3
"Africa","Bangladesh","Food supply (kcal/capita/day)",1862,1852,1828
"Africa","Bangladesh","Food supply quantity (g/capita/day)",499,497,491
"Africa","Bangladesh","Protein supply quantity (g/capita/day)",36.2,35.9,34.4
"Africa","Barbados","Fat supply quantity (g/capita/day)",4.2,3.3,3.2
"Africa","Barbados","Food supply (kcal/capita/day)",252,268,280
"Africa","Barbados","Food supply quantity (g/capita/day)",73,79,78
"Africa","Barbados","Protein supply quantity (g/capita/day)",7.1,8,9
"Africa","Belarus","Fat supply quantity (g/capita/day)",0.3,0.4,0.3
"Africa","Belarus","Food supply (kcal/capita/day)",32,36,33
"Africa","Belarus","Food supply quantity (g/capita/day)",13,14,12
"Africa","Belarus","Protein supply quantity (g/capita/day)",0.6,0.7,0.6
"Africa","Belgium","Fat supply quantity (g/capita/day)",28.9,22.8,19.9
"Africa","Belgium","Food supply (kcal/capita/day)",375,315,282
"Africa","Belgium","Food supply quantity (g/capita/day)",77,70,63
"Africa","Belgium","Protein supply quantity (g/capita/day)",3.7,3.5,3.2
"Africa","Belize","Fat supply quantity (g/capita/day)",1.6,1.7,1.7
"Africa","Belize","Food supply (kcal/capita/day)",405,405,388
"Africa","Belize","Food supply quantity (g/capita/day)",120,119,114
"Africa","Belize","Protein supply quantity (g/capita/day)",10.3,10.6,10.3
"Africa","Benin","Fat supply quantity (g/capita/day)",16.7,14.6,15.5
"Africa","Benin","Food supply (kcal/capita/day)",1179,1168,1199
"Africa","Benin","Food supply quantity (g/capita/day)",575,617,628
"Africa","Benin","Protein supply quantity (g/capita/day)",21.8,21.8,22.1
"Africa","Bermuda","Fat supply quantity (g/capita/day)",23.3,23,25.5
"Africa","Bermuda","Food supply (kcal/capita/day)",279,259,309
"Africa","Bermuda","Food supply quantity (g/capita/day)",55,44,54
"Africa","Bermuda","Protein supply quantity (g/capita/day)",2.7,2,2.5
"Africa","Bolivia (Plurinational State of)","Fat supply quantity (g/capita/day)",3.3,3.4,3.4
"Africa","Bolivia (Plurinational State of)","Food supply (kcal/capita/day)",321,319,323
"Africa","Bolivia (Plurinational State of)","Food supply quantity (g/capita/day)",85,85,85
"Africa","Bolivia (Plurinational State of)","Protein supply quantity (g/capita/day)",7.2,6.9,7
"Africa","Bosnia and Herzegovina","Fat supply quantity (g/capita/day)",3.3,3.2,2.6
"Africa","Bosnia and Herzegovina","Food supply (kcal/capita/day)",70,68,62
"Africa","Bosnia and Herzegovina","Food supply quantity (g/capita/day)",29,28,30
"Africa","Bosnia and Herzegovina","Protein supply quantity (g/capita/day)",2.3,2.1,2.2
"Africa","Botswana","Fat supply quantity (g/capita/day)",5.8,7,6.3
"Africa","Botswana","Food supply (kcal/capita/day)",344,384,364
"Africa","Botswana","Food supply quantity (g/capita/day)",101,111,110
"Africa","Botswana","Protein supply quantity (g/capita/day)",9.1,9.6,9.3
"Africa","Brazil","Fat supply quantity (g/capita/day)",9.8,9.9,10.1
"Africa","Brazil","Food supply (kcal/capita/day)",441,432,442
"Africa","Brazil","Food supply quantity (g/capita/day)",115,114,116
"Africa","Brazil","Protein supply quantity (g/capita/day)",7.6,7.6,7.7
"Africa","Brunei Darussalam","Fat supply quantity (g/capita/day)",21,21.3,21.1
"Africa","Brunei Darussalam","Food supply (kcal/capita/day)",926,929,936
"Africa","Brunei Darussalam","Food supply quantity (g/capita/day)",250,243,240
"Africa","Brunei Darussalam","Protein supply quantity (g/capita/day)",14.3,14.1,14.3
"Africa","Bulgaria","Fat supply quantity (g/capita/day)",1.6,1.4,1.7
"Africa","Bulgaria","Food supply (kcal/capita/day)",58,43,65
"Africa","Bulgaria","Food supply quantity (g/capita/day)",32,26,28
"Africa","Bulgaria","Protein supply quantity (g/capita/day)",1.9,1.6,1.9
"Africa","Burkina Faso","Fat supply quantity (g/capita/day)",22.3,26.9,26.5
"Africa","Burkina Faso","Food supply (kcal/capita/day)",1380,1410,1377
"Africa","Burkina Faso","Food supply quantity (g/capita/day)",464,468,458
"Africa","Burkina Faso","Protein supply quantity (g/capita/day)",39.3,39.3,38.2
"Africa","Cabo Verde","Fat supply quantity (g/capita/day)",5.9,5.7,7.1
"Africa","Cabo Verde","Food supply (kcal/capita/day)",555,569,596
"Africa","Cabo Verde","Food supply quantity (g/capita/day)",152,154,161
"Africa","Cabo Verde","Protein supply quantity (g/capita/day)",11.6,11.7,12.9
"Africa","Cambodia","Fat supply quantity (g/capita/day)",9.1,8.5,8.6
"Africa","Cambodia","Food supply (kcal/capita/day)",1558,1563,1560
"Africa","Cambodia","Food supply quantity (g/capita/day)",443,444,443
"Africa","Cambodia","Protein supply quantity (g/capita/day)",32,32.2,32.2
"Africa","Cameroon","Fat supply quantity (g/capita/day)",21.3,21.3,21.8
"Africa","Cameroon","Food supply (kcal/capita/day)",751,752,770
"Africa","Cameroon","Food supply quantity (g/capita/day)",223,225,231
"Africa","Cameroon","Protein supply quantity (g/capita/day)",17,17.4,17.7
"Africa","Canada","Fat supply quantity (g/capita/day)",6.2,6.7,7.2
"Africa","Canada","Food supply (kcal/capita/day)",228,248,269
"Africa","Canada","Food supply quantity (g/capita/day)",73,78,86
"Africa","Canada","Protein supply quantity (g/capita/day)",7.7,8.8,9.7
"Africa","Central African Republic","Fat supply quantity (g/capita/day)",18.2,15,13.1
"Africa","Central African Republic","Food supply (kcal/capita/day)",624,612,592
"Africa","Central African Republic","Food supply quantity (g/capita/day)",322,328,327
"Africa","Central African Republic","Protein supply quantity (g/capita/day)",15,14.8,14.5
"Africa","Chad","Fat supply quantity (g/capita/day)",12.1,11.9,12.2
"Africa","Chad","Food supply (kcal/capita/day)",913,928,947
"Africa","Chad","Food supply quantity (g/capita/day)",340,355,358
"Africa","Chad","Protein supply quantity (g/capita/day)",24.9,25.4,25.9
"Africa","Chile","Fat supply quantity (g/capita/day)",1.3,1.3,1
"Africa","Chile","Food supply (kcal/capita/day)",112,113,105
"Africa","Chile","Food supply quantity (g/capita/day)",33,35,33
"Africa","Chile","Protein supply quantity (g/capita/day)",2.7,3.7,3.2
"Africa","China, Hong Kong SAR","Fat supply quantity (g/capita/day)",3,2.9,3
"Africa","China, Hong Kong SAR","Food supply (kcal/capita/day)",484,483,490
"Africa","China, Hong Kong SAR","Food supply quantity (g/capita/day)",137,140,142
"Africa","China, Hong Kong SAR","Protein supply quantity (g/capita/day)",8.5,8.5,8.7
"Africa","China, Macao SAR","Fat supply quantity (g/capita/day)",4.8,4.5,3.5
"Africa","China, Macao SAR","Food supply (kcal/capita/day)",525,496,498
"Africa","China, Macao SAR","Food supply quantity (g/capita/day)",140,136,139
"Africa","China, Macao SAR","Protein supply quantity (g/capita/day)",9.9,9.7,9.9
"Africa","China, mainland","Fat supply quantity (g/capita/day)",12.5,11.4,11.8
"Africa","China, mainland","Food supply (kcal/capita/day)",909,905,923
"Africa","China, mainland","Food supply quantity (g/capita/day)",229,227,233
"Africa","China, mainland","Protein supply quantity (g/capita/day)",15.9,16.2,16.2
"Africa","China, Taiwan Province of","Fat supply quantity (g/capita/day)",11.7,12.4,11.3
"Africa","China, Taiwan Province of","Food supply (kcal/capita/day)",558,576,563
"Africa","China, Taiwan Province of","Food supply quantity (g/capita/day)",147,151,146
"Africa","China, Taiwan Province of","Protein supply quantity (g/capita/day)",9.3,9.6,9.5
"Africa","Colombia","Fat supply quantity (g/capita/day)",20.5,30.1,31.2
"Africa","Colombia","Food supply (kcal/capita/day)",536,607,603
"Africa","Colombia","Food supply quantity (g/capita/day)",133,142,137
"Africa","Colombia","Protein supply quantity (g/capita/day)",8.7,8.6,8
"Africa","Congo","Fat supply quantity (g/capita/day)",20.7,21.2,20.8
"Africa","Congo","Food supply (kcal/capita/day)",383,401,399
"Africa","Congo","Food supply quantity (g/capita/day)",83,87,86
"Africa","Congo","Protein supply quantity (g/capita/day)",4.5,4.7,4.7
"Africa","Costa Rica","Fat supply quantity (g/capita/day)",18.6,18.8,19.4
"Africa","Costa Rica","Food supply (kcal/capita/day)",634,645,647
"Africa","Costa Rica","Food supply quantity (g/capita/day)",170,180,181
"Africa","Costa Rica","Protein supply quantity (g/capita/day)",10,10.8,10.8
"Africa","Côte d'Ivoire","Fat supply quantity (g/capita/day)",31.7,31.3,33.7
"Africa","Côte d'Ivoire","Food supply (kcal/capita/day)",1404,1368,1386
"Africa","Côte d'Ivoire","Food supply quantity (g/capita/day)",748,737,736
"Africa","Côte d'Ivoire","Protein supply quantity (g/capita/day)",21.6,21,20.8
"Africa","Croatia","Fat supply quantity (g/capita/day)",12.2,11.9,10.9
"Africa","Croatia","Food supply (kcal/capita/day)",146,141,133
"Africa","Croatia","Food supply quantity (g/capita/day)",50,50,49
"Africa","Croatia","Protein supply quantity (g/capita/day)",1.9,1.9,1.8
"Africa","Cuba","Fat supply quantity (g/capita/day)",1.7,1.3,1.5
"Africa","Cuba","Food supply (kcal/capita/day)",761,646,719
"Africa","Cuba","Food supply quantity (g/capita/day)",257,232,244
"Africa","Cuba","Protein supply quantity (g/capita/day)",18.5,13.2,15
"Africa","Cyprus","Fat supply quantity (g/capita/day)",11.3,11.4,11.8
"Africa","Cyprus","Food supply (kcal/capita/day)",179,195,186
"Africa","Cyprus","Food supply quantity (g/capita/day)",59,61,57
"Africa","Cyprus","Protein supply quantity (g/capita/day)",3.8,4.1,3.6
"Africa","Czech Republic","Fat supply quantity (g/capita/day)",1.5,1.7,2
"Africa","Czech Republic","Food supply (kcal/capita/day)",81,82,90
"Africa","Czech Republic","Food supply quantity (g/capita/day)",29,28,32
"Africa","Czech Republic","Protein supply quantity (g/capita/day)",2.9,2.9,2.9
"Africa","Democratic People's Republic of Korea","Fat supply quantity (g/capita/day)",4.7,4.8,4.7
"Africa","Democratic People's Republic of Korea","Food supply (kcal/capita/day)",772,768,776
"Africa","Democratic People's Republic of Korea","Food supply quantity (g/capita/day)",214,214,215
"Africa","Democratic People's Republic of Korea","Protein supply quantity (g/capita/day)",13.2,13.2,13.2
"Africa","Denmark","Fat supply quantity (g/capita/day)",11.1,11.6,11.8
"Africa","Denmark","Food supply (kcal/capita/day)",165,172,179
"Africa","Denmark","Food supply quantity (g/capita/day)",50,56,57
"Africa","Denmark","Protein supply quantity (g/capita/day)",3,3.1,3.2
"Africa","Djibouti","Fat supply quantity (g/capita/day)",26.3,26.6,26.3
"Africa","Djibouti","Food supply (kcal/capita/day)",761,768,775
"Africa","Djibouti","Food supply quantity (g/capita/day)",181,181,185
"Africa","Djibouti","Protein supply quantity (g/capita/day)",14.6,15.6,15.8
"Africa","Dominica","Fat supply quantity (g/capita/day)",1.2,1.2,1.2
"Africa","Dominica","Food supply (kcal/capita/day)",277,278,263
"Africa","Dominica","Food supply quantity (g/capita/day)",170,182,179
"Africa","Dominica","Protein supply quantity (g/capita/day)",7.5,6.7,6
"Africa","Dominican Republic","Fat supply quantity (g/capita/day)",16,18.1,22.8
"Africa","Dominican Republic","Food supply (kcal/capita/day)",650,671,714
"Africa","Dominican Republic","Food supply quantity (g/capita/day)",173,173,180
"Africa","Dominican Republic","Protein supply quantity (g/capita/day)",12.2,12,12
"Africa","Ecuador","Fat supply quantity (g/capita/day)",27.1,26.7,27.5
"Africa","Ecuador","Food supply (kcal/capita/day)",667,668,676
"Africa","Ecuador","Food supply quantity (g/capita/day)",153,154,155
"Africa","Ecuador","Protein supply quantity (g/capita/day)",9.6,9.7,9.8
"Africa","Egypt","Fat supply quantity (g/capita/day)",6.1,5.5,6
"Africa","Egypt","Food supply (kcal/capita/day)",532,523,539
"Africa","Egypt","Food supply quantity (g/capita/day)",148,146,148
"Africa","Egypt","Protein supply quantity (g/capita/day)",13.2,14.6,13.1
"Africa","El Salvador","Fat supply quantity (g/capita/day)",2.8,2.8,2.9
"Africa","El Salvador","Food supply (kcal/capita/day)",258,266,261
"Africa","El Salvador","Food supply quantity (g/capita/day)",80,83,83
"Africa","El Salvador","Protein supply quantity (g/capita/day)",6.1,6.2,6.1
"Africa","Estonia","Fat supply quantity (g/capita/day)",0.5,1.3,1.5
"Africa","Estonia","Food supply (kcal/capita/day)",34,91,83
"Africa","Estonia","Food supply quantity (g/capita/day)",25,38,35
"Africa","Estonia","Protein supply quantity (g/capita/day)",1.4,4.5,3.9
"Africa","Ethiopia","Fat supply quantity (g/capita/day)",8.3,9.4,9.3
"Africa","Ethiopia","Food supply (kcal/capita/day)",467,485,490
"Africa","Ethiopia","Food supply quantity (g/capita/day)",146,149,150
"Africa","Ethiopia","Protein supply quantity (g/capita/day)",17.9,18.3,19.2
"Africa","Fiji","Fat supply quantity (g/capita/day)",2.6,2.5,2.2
"Africa","Fiji","Food supply (kcal/capita/day)",603,655,591
"Africa","Fiji","Food supply quantity (g/capita/day)",162,180,174
"Africa","Fiji","Protein supply quantity (g/capita/day)",13.8,15.3,15
"Africa","Finland","Fat supply quantity (g/capita/day)",1.3,4.1,4.2
"Africa","Finland","Food supply (kcal/capita/day)",80,106,106
"Africa","Finland","Food supply quantity (g/capita/day)",51,55,54
"Africa","Finland","Protein supply quantity (g/capita/day)",3.6,3.6,3.6
"Africa","France","Fat supply quantity (g/capita/day)",7.5,10,7.5
"Africa","France","Food supply (kcal/capita/day)",142,163,142
"Africa","France","Food supply quantity (g/capita/day)",41,46,46
"Africa","France","Protein supply quantity (g/capita/day)",2.6,2.7,2.9
"Africa","French Polynesia","Fat supply quantity (g/capita/day)",3.7,3.4,3.8
"Africa","French Polynesia","Food supply (kcal/capita/day)",385,397,383
"Africa","French Polynesia","Food supply quantity (g/capita/day)",111,112,108
"Africa","French Polynesia","Protein supply quantity (g/capita/day)",7.7,7.8,7.3
"Africa","Gabon","Fat supply quantity (g/capita/day)",9.6,8.7,8.7
"Africa","Gabon","Food supply (kcal/capita/day)",594,583,595
"Africa","Gabon","Food supply quantity (g/capita/day)",281,278,283
"Africa","Gabon","Protein supply quantity (g/capita/day)",9.4,9.4,9.6
"Africa","Gambia","Fat supply quantity (g/capita/day)",31.7,29.7,33
"Africa","Gambia","Food supply (kcal/capita/day)",1487,1476,1500
"Africa","Gambia","Food supply quantity (g/capita/day)",414,418,419
"Africa","Gambia","Protein supply quantity (g/capita/day)",30.7,31.2,30.8
"Africa","Georgia","Fat supply quantity (g/capita/day)",0.2,0.3,0.3
"Africa","Georgia","Food supply (kcal/capita/day)",26,29,31
"Africa","Georgia","Food supply quantity (g/capita/day)",13,14,15
"Africa","Georgia","Protein supply quantity (g/capita/day)",0.7,0.8,0.8
"Africa","Germany","Fat supply quantity (g/capita/day)",12.8,2.4,9.4
"Africa","Germany","Food supply (kcal/capita/day)",155,65,129
"Africa","Germany","Food supply quantity (g/capita/day)",40,31,40
"Africa","Germany","Protein supply quantity (g/capita/day)",1.9,2,2.3
"Africa","Ghana","Fat supply quantity (g/capita/day)",10.5,12.3,11.1
"Africa","Ghana","Food supply (kcal/capita/day)",879,909,918
"Africa","Ghana","Food supply quantity (g/capita/day)",534,539,548
"Africa","Ghana","Protein supply quantity (g/capita/day)",15.7,16,16.1
"Africa","Greece","Fat supply quantity (g/capita/day)",49.9,48.8,45.4
"Africa","Greece","Food supply (kcal/capita/day)",537,516,496
"Africa","Greece","Food supply quantity (g/capita/day)",143,131,110
"Africa","Greece","Protein supply quantity (g/capita/day)",4.2,4,3.7
"Africa","Grenada","Fat supply quantity (g/capita/day)",1.3,1,1
"Africa","Grenada","Food supply (kcal/capita/day)",164,176,209
"Africa","Grenada","Food supply quantity (g/capita/day)",55,56,66
"Africa","Grenada","Protein supply quantity (g/capita/day)",5.9,5.8,6.7
"Africa","Guatemala","Fat supply quantity (g/capita/day)",10,10.4,12.8
"Africa","Guatemala","Food supply (kcal/capita/day)",170,183,201
"Africa","Guatemala","Food supply quantity (g/capita/day)",38,40,43
"Africa","Guatemala","Protein supply quantity (g/capita/day)",3.8,4,4.2
"Africa","Guinea-Bissau","Fat supply quantity (g/capita/day)",21.1,20.9,20.8
"Africa","Guinea-Bissau","Food supply (kcal/capita/day)",1266,1261,1244
"Africa","Guinea-Bissau","Food supply quantity (g/capita/day)",329,328,324
"Africa","Guinea-Bissau","Protein supply quantity (g/capita/day)",23.1,23,22.6
"Africa","Guinea","Fat supply quantity (g/capita/day)",21.3,23.7,25.3
"Africa","Guinea","Food supply (kcal/capita/day)",1215,1212,1223
"Africa","Guinea","Food supply quantity (g/capita/day)",316,307,309
"Africa","Guinea","Protein supply quantity (g/capita/day)",25.5,24.8,24.6
"Africa","Guyana","Fat supply quantity (g/capita/day)",2.1,2.2,2.2
"Africa","Guyana","Food supply (kcal/capita/day)",832,808,814
"Africa","Guyana","Food supply quantity (g/capita/day)",241,233,236
"Africa","Guyana","Protein supply quantity (g/capita/day)",19,18.7,18.9
"Africa","Haiti","Fat supply quantity (g/capita/day)",12.1,11,13.5
"Africa","Haiti","Food supply (kcal/capita/day)",633,700,719
"Africa","Haiti","Food supply quantity (g/capita/day)",221,243,242
"Africa","Haiti","Protein supply quantity (g/capita/day)",13,15.8,14.7
"Africa","Honduras","Fat supply quantity (g/capita/day)",26.5,26.3,26.4
"Africa","Honduras","Food supply (kcal/capita/day)",408,390,394
"Africa","Honduras","Food supply quantity (g/capita/day)",88,77,81
"Africa","Honduras","Protein supply quantity (g/capita/day)",4.4,3.5,3.9
"Africa","Hungary","Fat supply quantity (g/capita/day)",9.3,9,9.1
"Africa","Hungary","Food supply (kcal/capita/day)",130,127,132
"Africa","Hungary","Food supply quantity (g/capita/day)",25,25,26
"Africa","Hungary","Protein supply quantity (g/capita/day)",1.9,2.2,2.4
"Africa","Iceland","Fat supply quantity (g/capita/day)",2.8,2.6,2.8
"Africa","Iceland","Food supply (kcal/capita/day)",66,71,70
"Africa","Iceland","Food supply quantity (g/capita/day)",36,36,34
"Africa","Iceland","Protein supply quantity (g/capita/day)",2.3,2.3,2.1
"Africa","India","Fat supply quantity (g/capita/day)",13,12.1,12.1
"Africa","India","Food supply (kcal/capita/day)",1000,996,1005
"Africa","India","Food supply quantity (g/capita/day)",268,269,272
"Africa","India","Protein supply quantity (g/capita/day)",22.3,22.2,22.8
"Africa","Indonesia","Fat supply quantity (g/capita/day)",21.5,22.2,23.6
"Africa","Indonesia","Food supply (kcal/capita/day)",1437,1463,1486
"Africa","Indonesia","Food supply quantity (g/capita/day)",375,380,385
"Africa","Indonesia","Protein supply quantity (g/capita/day)",23.7,24.1,24.4
"Africa","Iran (Islamic Republic of)","Fat supply quantity (g/capita/day)",1.9,2.7,2.8
"Africa","Iran (Islamic Republic of)","Food supply (kcal/capita/day)",271,369,358
"Africa","Iran (Islamic Republic of)","Food supply quantity (g/capita/day)",77,104,100
"Africa","Iran (Islamic Republic of)","Protein supply quantity (g/capita/day)",6.6,9.3,9.2
"Africa","Iraq","Fat supply quantity (g/capita/day)",20.7,21.7,22.6
"Africa","Iraq","Food supply (kcal/capita/day)",569,548,525
"Africa","Iraq","Food supply quantity (g/capita/day)",128,122,114
"Africa","Iraq","Protein supply quantity (g/capita/day)",8.9,8.3,7.7
"Africa","Ireland","Fat supply quantity (g/capita/day)",4.5,5,4.6
"Africa","Ireland","Food supply (kcal/capita/day)",106,112,94
"Africa","Ireland","Food supply quantity (g/capita/day)",28,29,28
"Africa","Ireland","Protein supply quantity (g/capita/day)",2.4,2.4,2
"Africa","Israel","Fat supply quantity (g/capita/day)",24.2,22.1,22.5
"Africa","Israel","Food supply (kcal/capita/day)",394,366,369
"Africa","Israel","Food supply quantity (g/capita/day)",91,89,86
"Africa","Israel","Protein supply quantity (g/capita/day)",9.1,8.5,8.5
"Africa","Italy","Fat supply quantity (g/capita/day)",34.1,35.1,36.5
"Africa","Italy","Food supply (kcal/capita/day)",390,405,409
"Africa","Italy","Food supply quantity (g/capita/day)",77,81,79
"Africa","Italy","Protein supply quantity (g/capita/day)",4.3,4.6,4
"Africa","Jamaica","Fat supply quantity (g/capita/day)",1.7,1.7,1.5
"Africa","Jamaica","Food supply (kcal/capita/day)",425,406,401
"Africa","Jamaica","Food supply quantity (g/capita/day)",199,198,197
"Africa","Jamaica","Protein supply quantity (g/capita/day)",10,9.4,9.3
"Africa","Japan","Fat supply quantity (g/capita/day)",7.3,8,8.2
"Africa","Japan","Food supply (kcal/capita/day)",644,665,649
"Africa","Japan","Food supply quantity (g/capita/day)",139,143,140
"Africa","Japan","Protein supply quantity (g/capita/day)",11.9,12.1,11.9
"Africa","Jordan","Fat supply quantity (g/capita/day)",26.2,32,30.3
"Africa","Jordan","Food supply (kcal/capita/day)",537,578,543
"Africa","Jordan","Food supply quantity (g/capita/day)",132,144,122
"Africa","Jordan","Protein supply quantity (g/capita/day)",9.8,9.8,9.1
"Africa","Kazakhstan","Fat supply quantity (g/capita/day)",4.1,4.5,2.2
"Africa","Kazakhstan","Food supply (kcal/capita/day)",126,127,108
"Africa","Kazakhstan","Food supply quantity (g/capita/day)",34,30,31
"Africa","Kazakhstan","Protein supply quantity (g/capita/day)",2,1.7,2
"Africa","Kenya","Fat supply quantity (g/capita/day)",17.4,16.8,14.1
"Africa","Kenya","Food supply (kcal/capita/day)",291,282,289
"Africa","Kenya","Food supply quantity (g/capita/day)",61,58,64
"Africa","Kenya","Protein supply quantity (g/capita/day)",5,4.8,5.7
"Africa","Kiribati","Fat supply quantity (g/capita/day)",1.4,1,1.6
"Africa","Kiribati","Food supply (kcal/capita/day)",425,523,599
"Africa","Kiribati","Food supply quantity (g/capita/day)",118,145,167
"Africa","Kiribati","Protein supply quantity (g/capita/day)",7.8,9.7,11.1
"Africa","Kuwait","Fat supply quantity (g/capita/day)",21.3,21.3,20.3
"Africa","Kuwait","Food supply (kcal/capita/day)",809,831,851
"Africa","Kuwait","Food supply quantity (g/capita/day)",206,210,219
"Africa","Kuwait","Protein supply quantity (g/capita/day)",14.6,14.6,15.7
"Africa","Kyrgyzstan","Fat supply quantity (g/capita/day)",6.3,7.8,6
"Africa","Kyrgyzstan","Food supply (kcal/capita/day)",148,138,108
"Africa","Kyrgyzstan","Food supply quantity (g/capita/day)",32,28,23
"Africa","Kyrgyzstan","Protein supply quantity (g/capita/day)",2,1.6,1.3
"Africa","Lao People's Democratic Republic","Fat supply quantity (g/capita/day)",9.7,10,10.1
"Africa","Lao People's Democratic Republic","Food supply (kcal/capita/day)",1481,1493,1502
"Africa","Lao People's Democratic Republic","Food supply quantity (g/capita/day)",466,472,472
"Africa","Lao People's Democratic Republic","Protein supply quantity (g/capita/day)",35.9,36.2,36.4
"Africa","Latvia","Fat supply quantity (g/capita/day)",2.3,2.2,2.6
"Africa","Latvia","Food supply (kcal/capita/day)",47,47,68
"Africa","Latvia","Food supply quantity (g/capita/day)",25,24,29
"Africa","Latvia","Protein supply quantity (g/capita/day)",0.9,0.9,1.2
"Africa","Lebanon","Fat supply quantity (g/capita/day)",14.4,13.8,15.4
"Africa","Lebanon","Food supply (kcal/capita/day)",320,314,333
"Africa","Lebanon","Food supply quantity (g/capita/day)",89,91,96
"Africa","Lebanon","Protein supply quantity (g/capita/day)",8.5,8.7,8.9
"Africa","Lesotho","Fat supply quantity (g/capita/day)",1.3,1,0.6
"Africa","Lesotho","Food supply (kcal/capita/day)",200,166,116
"Africa","Lesotho","Food supply quantity (g/capita/day)",64,52,35
"Africa","Lesotho","Protein supply quantity (g/capita/day)",6.3,5.3,3.7
"Africa","Liberia","Fat supply quantity (g/capita/day)",44.6,46,46.6
"Africa","Liberia","Food supply (kcal/capita/day)",1319,1319,1329
"Africa","Liberia","Food supply quantity (g/capita/day)",311,308,311
"Africa","Liberia","Protein supply quantity (g/capita/day)",20,19.5,19.6
"Africa","Libya","Fat supply quantity (g/capita/day)",11.6,11.6,12.1
"Africa","Libya","Food supply (kcal/capita/day)",281,280,288
"Africa","Libya","Food supply quantity (g/capita/day)",82,84,88
"Africa","Libya","Protein supply quantity (g/capita/day)",5.2,4.6,4.9
"Africa","Lithuania","Fat supply quantity (g/capita/day)",1,1.1,1.5
"Africa","Lithuania","Food supply (kcal/capita/day)",96,86,96
"Africa","Lithuania","Food supply quantity (g/capita/day)",40,39,38
"Africa","Lithuania","Protein supply quantity (g/capita/day)",4.9,4,4.4
"Africa","Luxembourg","Fat supply quantity (g/capita/day)",5.5,7,7
"Africa","Luxembourg","Food supply (kcal/capita/day)",109,137,143
"Africa","Luxembourg","Food supply quantity (g/capita/day)",63,97,93
"Africa","Luxembourg","Protein supply quantity (g/capita/day)",3.8,5.7,5.3
"Africa","Madagascar","Fat supply quantity (g/capita/day)",5.1,4.8,4.9
