Item,Country,Element,Unit,Y2009,Y2010,Y2011,Average
Apples,Azerbaijan,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Bahamas,Fat supply quantity (g/capita/day),g/capita/day,0.1,0,0,0.033333333
Apples,Bahamas,Food supply (kcal/capita/day),kcal/capita/day,21,10,8,13
Apples,Bahamas,Food supply quantity (g/capita/day),g/capita/day,112,51,35,66
Apples,Bahamas,Protein supply quantity (g/capita/day),g/capita/day,0.1,0,0,0.033333333
Apples,Bangladesh,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Bangladesh,Food supply (kcal/capita/day),kcal/capita/day,1,1,1,1
Apples,Bangladesh,Food supply quantity (g/capita/day),g/capita/day,3,3,3,3
Apples,Bangladesh,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Barbados,Fat supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Barbados,Food supply (kcal/capita/day),kcal/capita/day,13,17,16,15.33333333
Apples,Barbados,Food supply quantity (g/capita/day),g/capita/day,43,67,61,57
Apples,Barbados,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Belarus,Fat supply quantity (g/capita/day),g/capita/day,0.2,0.2,0.2,0.2
Apples,Belarus,Food supply (kcal/capita/day),kcal/capita/day,30,29,27,28.66666667
Apples,Belarus,Food supply quantity (g/capita/day),g/capita/day,64,62,58,61.33333333
Apples,Belarus,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Belgium,Fat supply quantity (g/capita/day),g/capita/day,0.2,0.1,0,0.1
Apples,Belgium,Food supply (kcal/capita/day),kcal/capita/day,27,24,12,21
Apples,Belgium,Food supply quantity (g/capita/day),g/capita/day,79,62,57,66
Apples,Belgium,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0,0.066666667
Apples,Belize,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Belize,Food supply (kcal/capita/day),kcal/capita/day,3,2,2,2.333333333
Apples,Belize,Food supply quantity (g/capita/day),g/capita/day,11,7,5,7.666666667
Apples,Belize,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Benin,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Benin,Food supply (kcal/capita/day),kcal/capita/day,3,2,4,3
Apples,Benin,Food supply quantity (g/capita/day),g/capita/day,5,5,7,5.666666667
Apples,Benin,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Bermuda,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Bermuda,Food supply (kcal/capita/day),kcal/capita/day,5,4,3,4
Apples,Bermuda,Food supply quantity (g/capita/day),g/capita/day,10,8,7,8.333333333
Apples,Bermuda,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Bolivia (Plurinational State of),Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Bolivia (Plurinational State of),Food supply (kcal/capita/day),kcal/capita/day,3,3,3,3
Apples,Bolivia (Plurinational State of),Food supply quantity (g/capita/day),g/capita/day,6,6,6,6
Apples,Bolivia (Plurinational State of),Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Bosnia and Herzegovina,Fat supply quantity (g/capita/day),g/capita/day,0.2,0.1,0.1,0.133333333
Apples,Bosnia and Herzegovina,Food supply (kcal/capita/day),kcal/capita/day,28,23,22,24.33333333
Apples,Bosnia and Herzegovina,Food supply quantity (g/capita/day),g/capita/day,62,51,48,53.66666667
Apples,Bosnia and Herzegovina,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Botswana,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Botswana,Food supply (kcal/capita/day),kcal/capita/day,6,6,4,5.333333333
Apples,Botswana,Food supply quantity (g/capita/day),g/capita/day,14,13,10,12.33333333
Apples,Botswana,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Brazil,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Brazil,Food supply (kcal/capita/day),kcal/capita/day,7,7,8,7.333333333
Apples,Brazil,Food supply quantity (g/capita/day),g/capita/day,14,13,15,14
Apples,Brazil,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Brunei Darussalam,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Brunei Darussalam,Food supply (kcal/capita/day),kcal/capita/day,12,11,7,10
Apples,Brunei Darussalam,Food supply quantity (g/capita/day),g/capita/day,61,52,24,45.66666667
Apples,Brunei Darussalam,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0,0.066666667
Apples,Bulgaria,Fat supply quantity (g/capita/day),g/capita/day,0.1,0,0.1,0.066666667
Apples,Bulgaria,Food supply (kcal/capita/day),kcal/capita/day,11,5,8,8
Apples,Bulgaria,Food supply quantity (g/capita/day),g/capita/day,19,10,17,15.33333333
Apples,Bulgaria,Protein supply quantity (g/capita/day),g/capita/day,0.1,0,0,0.033333333
Apples,Burkina Faso,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Burkina Faso,Food supply (kcal/capita/day),kcal/capita/day,0,0,0,0
Apples,Burkina Faso,Food supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Burkina Faso,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Cabo Verde,Fat supply quantity (g/capita/day),g/capita/day,0.1,0.1,0,0.066666667
Apples,Cabo Verde,Food supply (kcal/capita/day),kcal/capita/day,9,11,8,9.333333333
Apples,Cabo Verde,Food supply quantity (g/capita/day),g/capita/day,34,44,31,36.33333333
Apples,Cabo Verde,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Cambodia,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Cambodia,Food supply (kcal/capita/day),kcal/capita/day,0,0,0,0
Apples,Cambodia,Food supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Cambodia,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Cameroon,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Cameroon,Food supply (kcal/capita/day),kcal/capita/day,0,0,0,0
Apples,Cameroon,Food supply quantity (g/capita/day),g/capita/day,1,1,1,1
Apples,Cameroon,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Canada,Fat supply quantity (g/capita/day),g/capita/day,0.2,0.1,0.2,0.166666667
Apples,Canada,Food supply (kcal/capita/day),kcal/capita/day,27,25,27,26.33333333
Apples,Canada,Food supply quantity (g/capita/day),g/capita/day,60,56,58,58
Apples,Canada,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Central African Republic,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Central African Republic,Food supply (kcal/capita/day),kcal/capita/day,0,0,0,0
Apples,Central African Republic,Food supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Central African Republic,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Chad,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Chad,Food supply (kcal/capita/day),kcal/capita/day,0,0,0,0
Apples,Chad,Food supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Chad,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Chile,Fat supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Chile,Food supply (kcal/capita/day),kcal/capita/day,13,21,12,15.33333333
Apples,Chile,Food supply quantity (g/capita/day),g/capita/day,26,41,24,30.33333333
Apples,Chile,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,"China, Hong Kong SAR",Fat supply quantity (g/capita/day),g/capita/day,0.1,0,0,0.033333333
Apples,"China, Hong Kong SAR",Food supply (kcal/capita/day),kcal/capita/day,10,10,9,9.666666667
Apples,"China, Hong Kong SAR",Food supply quantity (g/capita/day),g/capita/day,27,27,24,26
Apples,"China, Hong Kong SAR",Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,"China, Macao SAR",Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,"China, Macao SAR",Food supply (kcal/capita/day),kcal/capita/day,3,4,4,3.666666667
Apples,"China, Macao SAR",Food supply quantity (g/capita/day),g/capita/day,9,10,10,9.666666667
Apples,"China, Macao SAR",Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,"China, mainland",Fat supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,"China, mainland",Food supply (kcal/capita/day),kcal/capita/day,17,19,20,18.66666667
Apples,"China, mainland",Food supply quantity (g/capita/day),g/capita/day,41,45,49,45
Apples,"China, mainland",Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.2,0.133333333
Apples,"China, Taiwan Province of",Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,"China, Taiwan Province of",Food supply (kcal/capita/day),kcal/capita/day,7,8,7,7.333333333
Apples,"China, Taiwan Province of",Food supply quantity (g/capita/day),g/capita/day,17,20,20,19
Apples,"China, Taiwan Province of",Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Colombia,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Colombia,Food supply (kcal/capita/day),kcal/capita/day,2,3,3,2.666666667
Apples,Colombia,Food supply quantity (g/capita/day),g/capita/day,5,5,6,5.333333333
Apples,Colombia,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Congo,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Congo,Food supply (kcal/capita/day),kcal/capita/day,0,0,0,0
Apples,Congo,Food supply quantity (g/capita/day),g/capita/day,0,0,1,0.333333333
Apples,Congo,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Costa Rica,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Costa Rica,Food supply (kcal/capita/day),kcal/capita/day,6,7,8,7
Apples,Costa Rica,Food supply quantity (g/capita/day),g/capita/day,18,28,29,25
Apples,Costa Rica,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Côte d'Ivoire,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Côte d'Ivoire,Food supply (kcal/capita/day),kcal/capita/day,0,0,0,0
Apples,Côte d'Ivoire,Food supply quantity (g/capita/day),g/capita/day,1,1,1,1
Apples,Côte d'Ivoire,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Croatia,Fat supply quantity (g/capita/day),g/capita/day,0.2,0.2,0.2,0.2
Apples,Croatia,Food supply (kcal/capita/day),kcal/capita/day,28,27,31,28.66666667
Apples,Croatia,Food supply quantity (g/capita/day),g/capita/day,64,56,69,63
Apples,Croatia,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Cuba,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Cuba,Food supply (kcal/capita/day),kcal/capita/day,0,0,0,0
Apples,Cuba,Food supply quantity (g/capita/day),g/capita/day,1,1,1,1
Apples,Cuba,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Cyprus,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Cyprus,Food supply (kcal/capita/day),kcal/capita/day,15,12,13,13.33333333
Apples,Cyprus,Food supply quantity (g/capita/day),g/capita/day,42,33,37,37.33333333
Apples,Cyprus,Protein supply quantity (g/capita/day),g/capita/day,0.1,0,0.1,0.066666667
Apples,Czech Republic,Fat supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Czech Republic,Food supply (kcal/capita/day),kcal/capita/day,19,14,14,15.66666667
Apples,Czech Republic,Food supply quantity (g/capita/day),g/capita/day,42,33,32,35.66666667
Apples,Czech Republic,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Democratic People's Republic of Korea,Fat supply quantity (g/capita/day),g/capita/day,0.2,0.2,0.2,0.2
Apples,Democratic People's Republic of Korea,Food supply (kcal/capita/day),kcal/capita/day,31,32,32,31.66666667
Apples,Democratic People's Republic of Korea,Food supply quantity (g/capita/day),g/capita/day,74,76,76,75.33333333
Apples,Democratic People's Republic of Korea,Protein supply quantity (g/capita/day),g/capita/day,0.2,0.2,0.2,0.2
Apples,Denmark,Fat supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Denmark,Food supply (kcal/capita/day),kcal/capita/day,20,21,20,20.33333333
Apples,Denmark,Food supply quantity (g/capita/day),g/capita/day,48,54,45,49
Apples,Denmark,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Djibouti,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Djibouti,Food supply (kcal/capita/day),kcal/capita/day,1,0,0,0.333333333
Apples,Djibouti,Food supply quantity (g/capita/day),g/capita/day,3,0,0,1
Apples,Djibouti,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Dominica,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Dominica,Food supply (kcal/capita/day),kcal/capita/day,8,8,8,8
Apples,Dominica,Food supply quantity (g/capita/day),g/capita/day,20,20,20,20
Apples,Dominica,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Dominican Republic,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Dominican Republic,Food supply (kcal/capita/day),kcal/capita/day,2,2,2,2
Apples,Dominican Republic,Food supply quantity (g/capita/day),g/capita/day,3,4,4,3.666666667
Apples,Dominican Republic,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Ecuador,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Ecuador,Food supply (kcal/capita/day),kcal/capita/day,5,6,6,5.666666667
Apples,Ecuador,Food supply quantity (g/capita/day),g/capita/day,10,11,11,10.66666667
Apples,Ecuador,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Egypt,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Egypt,Food supply (kcal/capita/day),kcal/capita/day,9,9,10,9.333333333
Apples,Egypt,Food supply quantity (g/capita/day),g/capita/day,18,19,19,18.66666667
Apples,Egypt,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,El Salvador,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,El Salvador,Food supply (kcal/capita/day),kcal/capita/day,1,1,1,1
Apples,El Salvador,Food supply quantity (g/capita/day),g/capita/day,2,2,2,2
Apples,El Salvador,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Estonia,Fat supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Estonia,Food supply (kcal/capita/day),kcal/capita/day,28,21,20,23
Apples,Estonia,Food supply quantity (g/capita/day),g/capita/day,58,39,34,43.66666667
Apples,Estonia,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Ethiopia,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Ethiopia,Food supply (kcal/capita/day),kcal/capita/day,0,0,0,0
Apples,Ethiopia,Food supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Ethiopia,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Fiji,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Fiji,Food supply (kcal/capita/day),kcal/capita/day,3,3,4,3.333333333
Apples,Fiji,Food supply quantity (g/capita/day),g/capita/day,11,11,15,12.33333333
Apples,Fiji,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Finland,Fat supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Finland,Food supply (kcal/capita/day),kcal/capita/day,18,18,19,18.33333333
Apples,Finland,Food supply quantity (g/capita/day),g/capita/day,61,63,63,62.33333333
Apples,Finland,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,France,Fat supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,France,Food supply (kcal/capita/day),kcal/capita/day,11,11,10,10.66666667
Apples,France,Food supply quantity (g/capita/day),g/capita/day,26,27,23,25.33333333
Apples,France,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0,0.066666667
Apples,French Polynesia,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,French Polynesia,Food supply (kcal/capita/day),kcal/capita/day,8,7,8,7.666666667
Apples,French Polynesia,Food supply quantity (g/capita/day),g/capita/day,36,30,38,34.66666667
Apples,French Polynesia,Protein supply quantity (g/capita/day),g/capita/day,0.1,0,0,0.033333333
Apples,Gabon,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Gabon,Food supply (kcal/capita/day),kcal/capita/day,2,3,2,2.333333333
Apples,Gabon,Food supply quantity (g/capita/day),g/capita/day,7,9,7,7.666666667
Apples,Gabon,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Gambia,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Gambia,Food supply (kcal/capita/day),kcal/capita/day,0,0,0,0
Apples,Gambia,Food supply quantity (g/capita/day),g/capita/day,0,0,1,0.333333333
Apples,Gambia,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Georgia,Fat supply quantity (g/capita/day),g/capita/day,0.1,0.1,0,0.066666667
Apples,Georgia,Food supply (kcal/capita/day),kcal/capita/day,10,14,4,9.333333333
Apples,Georgia,Food supply quantity (g/capita/day),g/capita/day,22,30,8,20
Apples,Georgia,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Germany,Fat supply quantity (g/capita/day),g/capita/day,0.2,0.2,0.2,0.2
Apples,Germany,Food supply (kcal/capita/day),kcal/capita/day,27,25,25,25.66666667
Apples,Germany,Food supply quantity (g/capita/day),g/capita/day,56,51,53,53.33333333
Apples,Germany,Protein supply quantity (g/capita/day),g/capita/day,0.2,0.1,0.2,0.166666667
Apples,Ghana,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Ghana,Food supply (kcal/capita/day),kcal/capita/day,0,1,1,0.666666667
Apples,Ghana,Food supply quantity (g/capita/day),g/capita/day,2,2,3,2.333333333
Apples,Ghana,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Greece,Fat supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Greece,Food supply (kcal/capita/day),kcal/capita/day,15,9,9,11
Apples,Greece,Food supply quantity (g/capita/day),g/capita/day,32,20,19,23.66666667
Apples,Greece,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Grenada,Fat supply quantity (g/capita/day),g/capita/day,0.1,0,0.1,0.066666667
Apples,Grenada,Food supply (kcal/capita/day),kcal/capita/day,8,8,7,7.666666667
Apples,Grenada,Food supply quantity (g/capita/day),g/capita/day,22,21,14,19
Apples,Grenada,Protein supply quantity (g/capita/day),g/capita/day,0.1,0,0.1,0.066666667
Apples,Guatemala,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Guatemala,Food supply (kcal/capita/day),kcal/capita/day,2,2,2,2
Apples,Guatemala,Food supply quantity (g/capita/day),g/capita/day,5,6,5,5.333333333
Apples,Guatemala,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Guinea-Bissau,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Guinea-Bissau,Food supply (kcal/capita/day),kcal/capita/day,0,0,0,0
Apples,Guinea-Bissau,Food supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Guinea-Bissau,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Guinea,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Guinea,Food supply (kcal/capita/day),kcal/capita/day,0,0,0,0
Apples,Guinea,Food supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Guinea,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Guyana,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Guyana,Food supply (kcal/capita/day),kcal/capita/day,1,1,2,1.333333333
Apples,Guyana,Food supply quantity (g/capita/day),g/capita/day,3,4,4,3.666666667
Apples,Guyana,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Haiti,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Haiti,Food supply (kcal/capita/day),kcal/capita/day,0,0,0,0
Apples,Haiti,Food supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Haiti,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Honduras,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Honduras,Food supply (kcal/capita/day),kcal/capita/day,2,3,2,2.333333333
Apples,Honduras,Food supply quantity (g/capita/day),g/capita/day,10,8,5,7.666666667
Apples,Honduras,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Hungary,Fat supply quantity (g/capita/day),g/capita/day,0.2,0.2,0.3,0.233333333
Apples,Hungary,Food supply (kcal/capita/day),kcal/capita/day,33,35,38,35.33333333
Apples,Hungary,Food supply quantity (g/capita/day),g/capita/day,72,78,85,78.33333333
Apples,Hungary,Protein supply quantity (g/capita/day),g/capita/day,0.2,0.2,0.2,0.2
Apples,Iceland,Fat supply quantity (g/capita/day),g/capita/day,0.1,0.2,0.2,0.166666667
Apples,Iceland,Food supply (kcal/capita/day),kcal/capita/day,23,25,25,24.33333333
Apples,Iceland,Food supply quantity (g/capita/day),g/capita/day,81,89,90,86.66666667
Apples,Iceland,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,India,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,India,Food supply (kcal/capita/day),kcal/capita/day,2,2,3,2.333333333
Apples,India,Food supply quantity (g/capita/day),g/capita/day,4,4,6,4.666666667
Apples,India,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Indonesia,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Indonesia,Food supply (kcal/capita/day),kcal/capita/day,1,1,1,1
Apples,Indonesia,Food supply quantity (g/capita/day),g/capita/day,2,2,2,2
Apples,Indonesia,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Iran (Islamic Republic of),Fat supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Iran (Islamic Republic of),Food supply (kcal/capita/day),kcal/capita/day,32,18,27,25.66666667
Apples,Iran (Islamic Republic of),Food supply quantity (g/capita/day),g/capita/day,66,38,55,53
Apples,Iran (Islamic Republic of),Protein supply quantity (g/capita/day),g/capita/day,0.2,0.1,0.2,0.166666667
Apples,Iraq,Fat supply quantity (g/capita/day),g/capita/day,0,0.1,0,0.033333333
Apples,Iraq,Food supply (kcal/capita/day),kcal/capita/day,5,19,5,9.666666667
Apples,Iraq,Food supply quantity (g/capita/day),g/capita/day,11,39,10,20
Apples,Iraq,Protein supply quantity (g/capita/day),g/capita/day,0,0.1,0,0.033333333
Apples,Ireland,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Ireland,Food supply (kcal/capita/day),kcal/capita/day,4,9,7,6.666666667
Apples,Ireland,Food supply quantity (g/capita/day),g/capita/day,10,27,17,18
Apples,Ireland,Protein supply quantity (g/capita/day),g/capita/day,0,0.1,0,0.033333333
Apples,Israel,Fat supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Israel,Food supply (kcal/capita/day),kcal/capita/day,16,18,16,16.66666667
Apples,Israel,Food supply quantity (g/capita/day),g/capita/day,52,58,50,53.33333333
Apples,Israel,Protein supply quantity (g/capita/day),g/capita/day,0.2,0.2,0.2,0.2
Apples,Italy,Fat supply quantity (g/capita/day),g/capita/day,0.2,0.2,0.2,0.2
